i 50 || Epoch 24 || train loss 0.003439 || val loss 0.005221 || DSC 0.811
i 100 || Epoch 24 || train loss 0.003437 || val loss 0.005425 || DSC 0.815
i 150 || Epoch 24 || train loss 0.003725 || val loss 0.005316 || DSC 0.813
i 200 || Epoch 24 || train loss 0.003277 || val loss 0.005228 || DSC 0.814
i 250 || Epoch 24 || train loss 0.004006 || val loss 0.005274 || DSC 0.816
i 50 || Epoch 25 || train loss 0.003037 || val loss 0.005229 || DSC 0.815
i 100 || Epoch 25 || train loss 0.003233 || val loss 0.005310 || DSC 0.807
i 150 || Epoch 25 || train loss 0.003374 || val loss 0.005120 || DSC 0.815
i 200 || Epoch 25 || train loss 0.003517 || val loss 0.005408 || DSC 0.803
i 250 || Epoch 25 || train loss 0.003649 || val loss 0.005224 || DSC 0.814
i 50 || Epoch 26 || train loss 0.003119 || val loss 0.005550 || DSC 0.809
i 100 || Epoch 26 || train loss 0.003162 || val loss 0.005340 || DSC 0.814
i 150 || Epoch 26 || train loss 0.003316 || val loss 0.005203 || DSC 0.818
i 200 || Epoch 26 || train loss 0.003350 || val loss 0.004956 || DSC 0.825
i 250 || Epoch 26 || train loss 0.002928 || val loss 0.005185 || DSC 0.815
i 50 || Epoch 27 || train loss 0.003009 || val loss 0.004999 || DSC 0.822
i 100 || Epoch 27 || train loss 0.003069 || val loss 0.005088 || DSC 0.816
i 150 || Epoch 27 || train loss 0.003179 || val loss 0.005233 || DSC 0.820
i 200 || Epoch 27 || train loss 0.003296 || val loss 0.005215 || DSC 0.811
i 250 || Epoch 27 || train loss 0.003314 || val loss 0.005215 || DSC 0.810
i 50 || Epoch 28 || train loss 0.002994 || val loss 0.004987 || DSC 0.820
i 100 || Epoch 28 || train loss 0.003975 || val loss 0.005031 || DSC 0.819
i 150 || Epoch 28 || train loss 0.003870 || val loss 0.005254 || DSC 0.820
i 200 || Epoch 28 || train loss 0.003443 || val loss 0.005055 || DSC 0.822
